*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Main
*Date=08:08:09
*CreatedBy=Fritzing 0.9.10b.2022-05-14.CD-1801-0-29c2cede
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
104;;;57.4294;-51.8785;0;Bottom;Copper Fill16
105;;;20.3454;-51.8785;0;Bottom;Copper Fill45
106;;;29.464;-1.71357;0;Bottom;Copper Fill72
107;;;57.4548;-27.2659;0;Bottom;Copper Fill26
108;;;54.864;-1.71357;0;Bottom;Copper Fill80
109;;THT;37.4718;-9.67111;-90;Bottom;J2
110;;;40.8686;-3.59317;0;Bottom;Copper Fill90
111;;THT;63.5068;-23.6411;0;Bottom;J1
112;;;25.4254;-51.8785;0;Bottom;Copper Fill47
113;;;40.6654;-51.8785;0;Bottom;Copper Fill10
114;220;1206 [SMD];9.22427;-29.9333;0;Top;R1
115;;;63.5;-28.1803;0;Bottom;Copper Fill25
116;;;27.9654;-51.8785;0;Bottom;Copper Fill5
117;;;60.3317;-29.9911;0;Bottom;Via3
118;;;54.864;-1.71357;0;Bottom;Copper Fill38
119;;;59.9694;-51.8785;0;Bottom;Copper Fill60
120;;;47.2694;-51.8785;0;Bottom;Copper Fill12
121;;;40.6654;-51.8785;0;Bottom;Copper Fill53
122;0.030;0805 [SMD];3.4267;-42.6911;0;Top;LED1
123;;;52.324;-1.71357;0;Bottom;Copper Fill79
124;;;51.5874;-41.3375;0;Bottom;Copper Fill23
125;;;57.1564;-18.5423;0;Bottom;Via21
126;;;62.5094;-51.8785;0;Bottom;Copper Fill61
127;;;22.8854;-51.8785;0;Bottom;Copper Fill3
128;;;42.9768;-31.8125;0;Bottom;Copper Fill69
129;;;57.404;-1.71357;0;Bottom;Copper Fill81
130;;;56.5217;-28.0861;0;Bottom;Via6
131;;;62.5094;-51.8785;0;Bottom;Copper Fill18
132;;;43.4086;-3.59317;0;Bottom;Copper Fill95
133;;;59.944;-1.71357;0;Bottom;Copper Fill40
134;;;53.9577;-40.1622;0;Bottom;Via23
